file,occupancy_total,occupancy_fraction,occupancy_x_mean,occupancy_y_mean,occupancy_z_mean,occupancy_gradient_x,occupancy_gradient_y,occupancy_gradient_z,occupancy_gradient_total,occupancy_surface,grid_entropy,grid_moi_1,grid_moi_2,grid_moi_3,moi_principal_3,rdf_mean,rdf_kurtosis,entropy_spatial,ms_bandwidth,n_vacancies
152.003000,65.0,0.065,0.65,0.65,0.65,82.0,90.0,92.0,264.0,264.0,4.174387263395637,305.7683932384063,258.96371272049214,200.375586348794,784.3724402054845,4.444000401066943,-0.4795941453122996,4.2484952420493585,4.094121734965244,2.0
153.004000,66.0,0.066,0.66,0.66,0.66,66.0,74.0,84.0,224.0,224.0,4.1896547354264255,298.3985627386801,245.14342228558436,190.3368028545233,799.7240255336318,4.416872479115974,-0.46823936463376237,4.2484952420493585,4.09249815401389,2.0
154.005000,67.0,0.067,0.67,0.67,0.67,60.0,72.0,76.0,208.0,208.0,4.204692612690966,305.83572306849817,245.556961493869,192.78641991524475,841.2819211666185,4.449182613645905,-0.48522103451396026,4.276666119016054,4.101199316868466,2.0
155.000000,47.0,0.047,0.47,0.47,0.47,94.0,94.0,94.0,282.0,282.0,3.8501475970100585,345.43646975577997,331.4496938658923,300.39043212300834,458.4831958777022,3.8276316362949867,-1.083006824566197,3.850147601710058,3.220255641478542,1.0
156.001000,49.0,0.049,0.49,0.49,0.49,98.0,98.0,98.0,294.0,294.0,3.891820293210626,341.4782045145432,325.83918833756115,302.07036224993647,487.40809523112273,3.8892990732260295,-1.0234156756593475,3.891820298110627,3.296535277457224,1.0
157.002000,47.0,0.047,0.47,0.47,0.47,92.0,94.0,94.0,280.0,280.0,3.8501475970100585,345.9471636878178,319.68064797053853,308.84027344802644,455.7172432193171,3.829085668478481,-1.0265776318516426,3.850147601710058,3.2413539517433647,1.0
158.003000,46.0,0.046,0.46,0.46,0.46,80.0,84.0,90.0,254.0,254.0,3.8286413918890942,235.64384623697748,232.22961894793966,224.90914351073476,446.8409242488606,3.806244306085921,-1.076649467449622,3.8286413964890946,3.2237983275919393,1.0
159.004000,46.0,0.046,0.46,0.46,0.46,92.0,92.0,92.0,276.0,276.0,3.8286413918890942,374.4627565621277,316.984393172251,313.5093720047518,448.22174985328775,3.815528163564754,-1.0736631327226696,3.8286413964890946,3.2461973656031264,1.0
16.004000,85.0,0.085,0.85,0.85,0.85,122.0,116.0,108.0,346.0,346.0,4.442651247990316,455.26108583734214,422.80528826696155,385.32186118981406,1232.5090427654739,4.7557522423969685,-0.45195855132591056,4.4543472962535064,4.367926523186604,3.0
160.005000,50.0,0.05,0.5,0.5,0.5,100.0,100.0,100.0,300.0,300.0,3.9120230004281464,383.6681038596361,373.4267493149842,345.82514682537953,500.3968959840064,3.891048444757388,-0.9796822472576716,3.9120230054281455,3.4268801459961615,1.0
161.000000,88.0,0.088,0.88,0.88,0.88,110.0,118.0,120.0,348.0,348.0,4.477336805678206,471.6771160954618,420.14852435105064,395.5607231898514,1293.1918899441748,4.804404028049377,-0.4919375945936104,4.477336814478207,4.396181298125923,3.0
162.001000,84.0,0.084,0.84,0.84,0.84,110.0,88.0,104.0,302.0,302.0,4.430816790443312,433.31939421690413,373.6362608768443,354.6395830014893,1226.3088749590188,4.758559037011837,-0.47909048857109005,4.442651256490314,4.384357622755495,3.0
163.002000,85.0,0.085,0.85,0.85,0.85,116.0,110.0,118.0,344.0,344.0,4.442651247990316,436.6937809423912,415.26300414204616,387.3843913861504,1236.694665720663,4.738969006914987,-0.46127878068746764,4.442651256490314,4.390224994865308,3.0
164.003000,83.0,0.083,0.83,0.83,0.83,102.0,110.0,116.0,328.0,328.0,4.418840599496599,441.11230525554964,431.28056146896887,423.5107477333131,1219.9518659315688,4.688482021647766,-0.537915931679021,4.4188406077966,4.228973498762813,3.0
165.004000,86.0,0.086,0.86,0.86,0.86,126.0,118.0,100.0,344.0,344.0,4.454347287653507,442.1362045663103,403.9411428805056,378.31800139039336,1242.9183226548573,4.752918977897005,-0.4728176032511757,4.4543472962535064,4.377665440076893,3.0
